Company ID,Company name,Transactly Office ID (APP),Original Sales Rep: Company,Recent Deal Amount,Recent Deal Close Date,Contract Effective Date,Office SubScription Plan/Tier (APP),Office Subscription Renewal Date (APP),Brokerage Onboarding Date,id (MLS),MLS System Names,Email,Principal Broker's Email Address,Phone Number,Street Address,Street Address 2,City,State / Province,Postal Code,Brokerage Growth Manager,Assigned CS Rep,Last Engagement Date,Can We Send Emails to Agents,Company Domain Name,Website URL,Billing Contact Name
8505825447,coldwell banker,,Ernest (Ernie) Schiavone,,,,,,,,,,,+1 973-407-2000,16787 Bernardo Center Drive,STE 200,San Diego,,19341,,,,,coldwellbankerhomes.com,coldwellbankerhomes.com,
8505676672,myjerseyhome.com,,Ernest (Ernie) Schiavone,,,,,,,,,,,12018151288,,,Saddle River,NJ,,,,,,myjerseyhome.com,myjerseyhome.com,
8504858015,Berkshire Hathaway HomeServices Dean-Smith Realty,,AJ Kariem,14245,2022-04-21 16:11,,Brokerage,,2022-04-27,n/a,,,,,412 S Northshore Dr,,Knoxville,TN,37919,Robert Jackson,,2022-04-22 13:12,,,,Matthew Smith
8485832090,Realty One - The Dream Team,,Robert Jackson,,,,Team,,2022-04-21,,,,,,9317 State Ave Suite A,,Marysville,WA,98270,Robert Jackson,,2022-04-22 9:46,,,,
8483865964,Collette McDonald & Associates,,Robert Jackson,,,,Membership,,,,,,,,,,,,,Robert Jackson,,,,,,
8483750018,Denny Grimes,,Ernest (Ernie) Schiavone,,,,,,,,,,,9415614663,11900 Fairway Lakes Drive,,Fort Myers,FL,33907,Ernest (Ernie) Schiavone,,2022-04-22 9:46,,dennygrimes.com,dennygrimes.com,
8468286588,Excel Real Estate,,,,,,--,,,,,,,,,,,,,,,,,,,
8450737322,The Fahlman Group,,Robert Jackson,,,,Brokerage,,2022-04-13,,,,,,9317 State Ave Suite A,,Marysville,WA,98270,Robert Jackson,,2022-04-20 7:35,,,,
8448156267,Elite Home Advisors,,AJ Kariem,,2022-04-30 15:45,,Brokerage,,2022-04-12,SA649536000 (AZ),,,,,2077 E Warner Rd Tempe AZ 85284,,Tempe,AZ,85284,Robert Jackson,,2022-04-19 12:08,,,,
8439043618,Out of the Box Properties,,Michael Rimkie,495,2022-04-11 9:16,2022-04-07,Team,,2022-04-12,,,,,,117 Jefferson St,,St Charles,MO,63301,Bob Kodner,,2022-04-20 15:59,,,,
8417633893,Sales TEST,,,,,,,,,,,,,,,,,,,,,,,,,
8355527529,ReMax Integrity,,Robert Jackson,495,2022-03-30 9:33,,Brokerage,,2022-05-04,,,,,,224 Winthrop St,,Rehoboth,MA,2769,Robert Jackson,,2022-04-01 7:05,,,,
8370963107,Innovative Properties Group LLC,,Michael Rimkie,,2022-04-24 18:53,2022-03-31,Brokerage,,2022-04-05,,,,,7703243680,102 Overlook Cir Suite A  30115,,Canton,GA,30115,Bob Kodner,,2022-04-22 10:19,,innovativeproperties.com,innovativeproperties.com,
8371968345,Weiniger Realty,,Michael Rimkie,495,2022-04-01 11:34,,Membership,,2022-04-06,,,,,+1 908-561-1515,27 Mountain Boulevard suite 5,,warren,NJ,7059,Bob Kodner,,2022-04-19 17:35,,weinigerhomes.com,weinigerhomes.com,
8335267721,JPAR Modern Real Estate,,Bob Kodner,1950,2022-03-31 13:13,,Brokerage,,2022-04-19,MDRN1 MDRN4 MOREC 0MODR,,,,,6410 Miller St #12,,Arvada,CO,80004,Bob Kodner,,2022-04-18 8:34,,,,
8335261557,JPAR Vantage,,Bob Kodner,1950,2022-03-31 13:05,,Brokerage,,2022-04-18,PM273,,,,,2168 E Williams Field Rd Suite 210,,Gilbert,AZ,85295,Bob Kodner,,2022-04-18 14:50,,,,
8325007149,Mooney Group,,AJ Kariem,,,,Membership,,,,,,,,,,,,,Robert Jackson,,2022-04-19 13:05,,,,
8315679115,Sil-loH Metro Realty Brokers,,Michael Rimkie,975,2022-03-23 18:36,,Brokerage,,2022-03-28,,,,,(205) 379-1077,420 20th st N Ste. 2239 ,,Birmingham,AL,35203,Bob Kodner,,2022-04-08 16:47,,,,
8218317472,The NOMA Group Get Your Nest,,Robert Jackson,495,2022-03-17 17:25,2022-03-17,Team,,2022-03-22,,,,eugene@getyournest.com,,3260 N Hayden Rd Ste 201,,Scottsdale,AZ,85251,Robert Jackson,,2022-03-29 10:09,,,,
8182704131,Coeur d'Alene Area Homes,,Michael Rimkie,495,2022-03-16 10:10,,Membership,,2022-03-17,,,,,,2000 Northwest Blvd.,,Coeur d Alene,ID,83814,Bob Kodner,,2022-03-28 21:52,,,,
8128139634,,,,,,,,,,,,,,,,,,,,,,,,Compass,Compass,
8073319800,Renters Warehouse - NV,,AJ Kariem,,,,--,,,,,,,,,,,,,Robert Jackson,,,,,,
8033914388,whydavidthompson.com,,Tom Brinson (Deactivated User),,,,,,,,,,,,,,,,,,,,,whydavidthompson.com,whydavidthompson.com,
7936554553,Renters Warehouse - AZ,,AJ Kariem,,,,--,,,,,,,,,,,,,Robert Jackson,,,,,,
7936416440,Renters Warehouse - NC,,AJ Kariem,,,,--,,,,,,,,,,,,,Robert Jackson,,,,,,
7894546831,Heartfelt Homes,,,,,,,,,,,,,,1730 Southeast Moberly Lane,,Bentonville,,72712,,,2022-02-21 8:27,,heartfelthomesnwa.com,heartfelthomesnwa.com,
7809537868,One Realty SD,,Robert Jackson,495,2022-02-02 16:19,2022-02-02,Membership,,,,,,pat@rogencore.com,(701) 751-7040,2202 E Greenfield Lane Suite 170,,Bismarck,ND,,Robert Jackson,Nicole Glass,2022-03-16 3:18,,,,
